지역,성별,나이(세),측정값평균(mg-dL),확장불확도(퍼센트),하한 분포(95퍼센트),상한 분포(95퍼센트),포함인자,측정수(건),1분위수(Percentile),5분위수(Percentile),10분위(Percentile),25분위(Percentile),50분위(Percentile),75분위(Percentile),90분위(Percentile),95분위(Percentile),99분위(Percentile)
전국,남성,20~24세,57,15.13,32,82,2,11788,32,38,41,48,56,65,75,81,95 
전국,남성,25~26세,58,15.13,33,83,2,14901,32,38,42,49,57,67,76,82,96 
전국,남성,27~28세,57,15.13,32,82,2,26458,31,38,41,48,56,65,75,81,95 
전국,남성,29~30세,56,15.13,31,81,2,25780,31,36,40,46,55,64,74,80,94 
전국,남성,31~32세,54,15.13,29,79,2,27624,30,36,39,45,52,61,71,78,92 
전국,남성,33~34세,53,15.13,28,78,2,26188,30,35,38,44,51,61,70,77,91 
전국,남성,35~36세,53,15.13,28,77,2,36451,30,35,38,44,51,60,69,76,89 
전국,남성,37~38세,52,15.13,27,77,2,31010,29,35,38,43,50,59,69,76,89 
전국,남성,39~40세,52,15.13,28,77,2,29261,30,35,38,43,50,59,69,76,90 
전국,남성,41~42세,52,15.13,28,77,2,19836,30,35,38,43,50,59,69,76,91 
전국,남성,43~44세,52,15.13,28,77,2,23177,30,35,38,43,51,60,69,76,92 
전국,남성,45~46세,53,15.13,28,77,2,20238,30,35,38,43,51,60,70,77,92 
전국,남성,47~48세,53,15.13,28,77,2,23450,29,35,38,43,51,60,70,77,91 
전국,남성,49~50세,53,15.13,28,78,2,16190,29,34,38,43,51,60,70,77,92 
전국,남성,51~52세,53,15.13,28,77,2,18141,30,34,37,43,51,60,70,77,92 
전국,남성,53~54세,53,15.13,28,78,2,13649,29,35,38,43,51,60,70,78,93 
전국,남성,55~56세,53,15.13,28,78,2,15790,30,35,38,43,51,60,71,78,93 
전국,남성,57~58세,53,15.13,28,77,2,11572,29,34,37,43,51,60,71,78,94 
전국,남성,59~60세,53,15.13,28,78,2,11984,30,35,38,43,51,60,71,77,94 
전국,남성,61~62세,54,15.13,29,78,2,5233,30,35,38,44,52,61,71,79,95 
전국,남성,63~64세,54,15.13,29,78,2,5774,29,35,38,44,51,62,72,80,96 
전국,남성,65~66세,54,15.13,29,78,2,2737,30,34,38,44,51,61,73,80,97 
전국,남성,67~68세,54,15.13,29,79,2,3473,29,35,38,44,52,62,72,80,95 
전국,남성,69~70세,54,15.13,29,79,2,2002,29,34,37,44,52,62,73,80,93 
전국,남성,71~72세,54,15.13,29,79,2,2258,30,35,38,43,52,62,72,80,95 
전국,남성,73~74세,54,15.13,29,79,2,1170,31,35,38,44,52,62,73,81,104 
전국,남성,75세 이상,54,15.13,29,78,2,4117,29,34,37,43,51,62,73,80,96 
전국,여성,20~24세,69,15.13,44,94,2,15114,39,47,51,59,68,79,89,95,109 
전국,여성,25~26세,71,15.13,46,96,2,22695,40,48,53,60,69,80,90,97,111 
전국,여성,27~28세,70,15.13,46,95,2,19467,40,48,53,60,70,80,90,96,109 
전국,여성,29~30세,70,15.13,45,95,2,15676,39,47,51,59,69,79,89,96,110 
전국,여성,31~32세,68,15.13,44,93,2,13972,38,46,50,58,67,78,88,95,109 
전국,여성,33~34세,67,15.13,42,92,2,11149,37,44,48,57,66,76,87,94,107 
전국,여성,35~36세,66,15.13,41,91,2,11521,37,44,48,56,65,75,86,93,107 
전국,여성,37~38세,66,15.13,41,90,2,9852,37,44,48,55,64,74,85,91,105 
전국,여성,39~40세,65,15.13,40,90,2,14970,36,43,47,54,64,74,84,91,105 
전국,여성,41~42세,65,15.13,40,90,2,9894,36,43,47,54,63,74,84,90,104 
전국,여성,43~44세,64,15.13,40,89,2,14719,36,43,47,54,63,74,84,91,105 
전국,여성,45~46세,65,15.13,40,90,2,10094,36,43,47,54,63,74,85,92,106 
전국,여성,47~48세,64,15.13,40,89,2,14314,35,42,46,54,63,74,84,91,105 
전국,여성,49~50세,64,15.13,40,89,2,9108,36,42,46,54,63,74,84,91,105 
전국,여성,51~52세,64,15.13,39,89,2,11123,36,42,46,54,63,73,84,91,105 
전국,여성,53~54세,64,15.13,39,89,2,7088,35,42,46,53,62,73,84,91,108 
전국,여성,55~56세,63,15.13,38,88,2,10611,35,41,45,52,62,72,83,89,104 
전국,여성,57~58세,63,15.13,38,88,2,6510,34,41,44,52,61,72,83,90,103 
전국,여성,59~60세,62,15.13,37,87,2,8088,35,40,44,51,60,71,82,89,104 
전국,여성,61~62세,61,15.13,36,86,2,4123,34,40,44,50,59,70,81,88,103 
전국,여성,63~64세,60,15.13,35,85,2,4938,33,39,43,49,59,69,81,88,102 
전국,여성,65~66세,60,15.13,35,84,2,1925,33,39,43,49,58,69,78,86,100 
전국,여성,67~68세,60,15.13,35,85,2,3131,33,39,43,49,58,69,80,86,102 
전국,여성,69~70세,59,15.13,34,84,2,1534,32,39,42,49,58,68,79,85,99 
전국,여성,71~72세,59,15.13,34,84,2,1920,33,37,42,48,58,68,78,85,97 
전국,여성,73~74세,57,15.13,32,82,2,832,30,36,40,47,55,65,76,83,97 
전국,여성,75세 이상,57,15.13,32,82,2,2725,31,36,40,47,56,65,76,84,99 
서울,남성,20~24세,60,20.11,27,93,2,4634,34,40,44,50,59,68,78,85,97 
서울,남성,25~26세,60,20.11,27,93,2,7181,33,40,44,51,59,69,78,85,97 
서울,남성,27~28세,59,20.11,26,92,2,12134,33,39,43,50,58,67,77,84,98 
서울,남성,29~30세,58,20.11,25,91,2,9375,32,38,42,48,56,66,76,82,96 
서울,남성,31~32세,56,20.11,23,89,2,8428,31,37,40,46,54,63,73,80,94 
서울,남성,33~34세,55,20.11,21,88,2,6831,31,36,39,45,53,62,71,78,92 
서울,남성,35~36세,54,20.11,21,87,2,10043,31,36,39,45,52,61,71,77,90 
서울,남성,37~38세,53,20.11,20,86,2,7790,30,35,38,44,51,60,71,77,91 
서울,남성,39~40세,53,20.11,20,86,2,7326,30,36,38,44,51,61,70,78,92 
서울,남성,41~42세,53,20.11,20,86,2,2858,31,36,39,44,51,60,70,77,90 
서울,남성,43~44세,53,20.11,20,86,2,4421,31,36,39,44,51,60,70,76,91 
서울,남성,45~46세,53,20.11,20,86,2,3203,31,36,39,44,51,60,70,76,87 
서울,남성,47~48세,53,20.11,20,86,2,4438,30,35,38,44,51,60,70,78,92 
서울,남성,49~50세,54,20.11,20,87,2,2581,31,35,38,44,52,61,70,78,93 
서울,남성,51~52세,53,20.11,20,86,2,3333,30,35,38,44,51,61,71,78,94 
서울,남성,53~54세,54,20.11,20,87,2,2016,31,36,39,44,51,61,71,78,95 
서울,남성,55~56세,54,20.11,21,87,2,2925,30,35,38,44,52,61,71,78,94 
서울,남성,57~58세,54,20.11,21,87,2,1816,30,36,38,44,52,62,72,79,96 
서울,남성,59~60세,54,20.11,22,88,2,2333,31,36,39,45,52,62,73,81,97 
서울,남성,61~62세,55,20.11,22,88,2,1244,31,35,39,45,52,63,73,82,96 
서울,남성,63~64세,55,20.11,22,88,2,1657,30,35,38,45,53,63,75,83,101 
서울,남성,65~66세,54,20.11,21,87,2,783,30,35,38,44,52,62,74,81,94 
서울,남성,67~68세,55,20.11,22,88,2,1103,30,36,39,45,53,63,74,82,98 
서울,남성,69~70세,55,20.11,21,88,2,643,29,34,38,45,53,63,74,81,98 
서울,남성,71~72세,55,20.11,22,88,2,808,30,34,38,44,53,64,74,83,99 
서울,남성,73~74세,55,20.11,22,88,2,396,30,35,38,44,53,63,74,83,114 
서울,남성,75세 이상,55,20.11,22,88,2,1457,30,35,38,44,52,64,75,84,99 
서울,여성,20~24세,71,20.11,38,104,2,7339,40,48,53,60,70,80,91,97,112 
서울,여성,25~26세,72,20.11,39,105,2,12159,41,49,53,62,71,82,92,99,113 
서울,여성,27~28세,72,20.11,39,105,2,9702,42,49,54,62,71,82,92,98,112 
서울,여성,29~30세,71,20.11,38,104,2,6848,41,48,53,60,70,80,91,97,112 
서울,여성,31~32세,70,20.11,37,103,2,6518,39,47,51,59,69,79,90,97,111 
서울,여성,33~34세,68,20.11,35,102,2,4812,38,45,50,58,67,78,89,96,107 
서울,여성,35~36세,67,20.11,34,101,2,5226,37,45,49,57,66,77,88,95,109 
서울,여성,37~38세,66,20.11,33,99,2,4220,37,45,49,56,65,75,86,93,106 
서울,여성,39~40세,66,20.11,33,99,2,5781,37,44,48,55,64,75,86,93,107 
서울,여성,41~42세,66,20.11,33,99,2,3319,37,44,48,55,64,75,86,92,105 
서울,여성,43~44세,65,20.11,32,98,2,5272,37,43,47,54,64,75,85,91,106 
서울,여성,45~46세,66,20.11,32,99,2,3419,36,43,47,55,64,75,87,93,107 
서울,여성,47~48세,65,20.11,32,99,2,4893,35,43,47,55,64,75,86,94,107 
서울,여성,49~50세,66,20.11,33,99,2,2807,36,43,47,55,64,75,86,94,106 
서울,여성,51~52세,66,20.11,33,99,2,3541,36,43,47,55,65,76,87,95,109 
서울,여성,53~54세,65,20.11,32,98,2,2241,36,41,46,53,63,74,85,92,108 
서울,여성,55~56세,65,20.11,32,98,2,3299,36,42,46,53,63,75,86,93,107 
서울,여성,57~58세,64,20.11,31,97,2,2051,35,41,45,53,63,74,85,92,112 
서울,여성,59~60세,63,20.11,30,96,2,2660,35,41,45,52,61,73,84,92,106 
서울,여성,61~62세,63,20.11,30,96,2,1370,34,41,45,52,61,71,83,91,105 
서울,여성,63~64세,62,20.11,29,95,2,1775,33,40,44,51,60,72,84,90,104 
서울,여성,65~66세,61,20.11,28,94,2,644,33,39,44,51,59,70,81,89,105 
서울,여성,67~68세,62,20.11,29,95,2,1126,34,39,44,51,60,70,82,89,107 
서울,여성,69~70세,61,20.11,28,94,2,541,32,39,42,50,60,70,81,86,106 
서울,여성,71~72세,61,20.11,28,94,2,733,33,38,43,50,60,70,80,88,100 
서울,여성,73~74세,58,20.11,25,91,2,305,30,37,41,48,57,68,78,85,96 
서울,여성,75세 이상,58,20.11,25,91,2,913,31,36,40,47,56,66,79,87,106 
부산,남성,20~24세,55,12.93,34,76,2,2168,32,37,41,47,53,63,72,78,92 
부산,남성,25~26세,56,12.93,34,77,2,1769,32,37,41,47,55,63,72,78,92 
부산,남성,27~28세,55,12.93,33,76,2,3174,31,37,40,46,54,62,71,76,90 
부산,남성,29~30세,55,12.93,33,76,2,3717,32,37,40,46,53,62,71,78,90 
부산,남성,31~32세,53,12.93,32,74,2,4542,31,36,39,44,52,60,70,76,88 
부산,남성,33~34세,53,12.93,32,75,2,4742,31,36,39,44,51,61,70,77,90 
부산,남성,35~36세,53,12.93,31,74,2,6321,32,36,39,44,51,60,68,75,88 
부산,남성,37~38세,53,12.93,31,74,2,5368,32,36,39,44,51,59,69,75,86 
부산,남성,39~40세,52,12.93,31,74,2,4580,32,36,39,44,51,59,68,74,87 
부산,남성,41~42세,53,12.93,31,74,2,3798,31,36,39,44,51,60,68,75,88 
부산,남성,43~44세,53,12.93,32,74,2,3964,31,36,39,44,51,60,69,75,88 
부산,남성,45~46세,54,12.93,32,75,2,3636,32,37,39,44,52,60,70,77,93 
부산,남성,47~48세,54,12.93,33,75,2,3732,32,36,39,45,52,61,71,76,89 
부산,남성,49~50세,54,12.93,33,75,2,2813,32,36,39,45,52,61,71,77,93 
부산,남성,51~52세,54,12.93,33,75,2,2918,32,36,39,45,52,61,71,78,93 
