지역,성별,나이(세),측정값평균(mg-dL),확장불확도(퍼센트),하한 분포(95퍼센트),상한 분포(95퍼센트),측정수(건),1분위수(Percentile),5분위수(Percentile),10분위(Percentile),25분위(Percentile),50분위(Percentile),75분위(Percentile),90분위(Percentile),95분위(Percentile),99분위(Percentile)
전국,남성,20~24세,93,12.77,72,114,11794,45,54,62,75,91,109,128,139,163 
전국,남성,25~26세,99,12.77,78,121,14910,48,59,67,81,97,116,135,148,168 
전국,남성,27~28세,104,12.77,83,125,26463,50,62,70,85,103,122,140,152,176 
전국,남성,29~30세,108,12.77,87,129,25772,50,65,74,89,106,126,145,156,181 
전국,남성,31~32세,111,12.77,90,132,27619,50,68,76,92,110,129,149,161,184 
전국,남성,33~34세,114,12.77,93,135,26165,50,69,78,94,113,133,151,163,188 
전국,남성,35~36세,115,12.77,94,136,36430,51,70,80,96,114,134,153,165,188 
전국,남성,37~38세,116,12.77,95,137,30996,51,70,80,96,115,135,154,165,188 
전국,남성,39~40세,118,12.77,97,139,29248,52,71,81,98,117,137,155,167,191 
전국,남성,41~42세,118,12.77,97,139,19810,51,71,81,97,117,137,156,168,192 
전국,남성,43~44세,118,12.77,97,139,23144,52,71,81,98,117,138,157,169,194 
전국,남성,45~46세,118,12.77,97,139,20214,50,70,81,98,117,138,156,168,192 
전국,남성,47~48세,119,12.77,98,140,23437,51,70,81,98,118,138,157,169,194 
전국,남성,49~50세,118,12.77,97,139,16189,50,70,81,98,118,138,156,168,191 
전국,남성,51~52세,118,12.77,97,139,18131,51,70,81,98,117,137,155,167,193 
전국,남성,53~54세,117,12.77,96,138,13647,52,72,81,98,117,136,155,165,190 
전국,남성,55~56세,117,12.77,96,138,15787,53,71,81,98,116,136,155,167,191 
전국,남성,57~58세,117,12.77,96,138,11582,52,71,81,98,116,135,152,164,186 
전국,남성,59~60세,117,12.77,96,139,11992,53,72,82,98,117,136,153,165,188 
전국,남성,61~62세,117,12.77,96,138,5237,51,71,81,98,117,136,152,162,188 
전국,남성,63~64세,116,12.77,95,137,5775,50,70,80,98,115,134,152,163,189 
전국,남성,65~66세,116,12.77,95,137,2740,48,72,80,97,115,134,152,163,186 
전국,남성,67~68세,114,12.77,93,135,3478,52,70,80,96,114,133,150,160,186 
전국,남성,69~70세,113,12.77,92,134,2007,52,69,79,95,112,130,150,160,181 
전국,남성,71~72세,111,12.77,90,132,2260,50,68,77,93,111,129,146,157,179 
전국,남성,73~74세,113,12.77,92,134,1170,55,71,78,94,111,131,149,160,191 
전국,남성,75세 이상,110,12.77,89,131,4124,50,66,76,91,109,127,145,156,177 
전국,여성,20~24세,92,12.77,72,114,15128,46,56,63,75,90,106,123,134,160 
전국,여성,25~26세,94,12.77,78,120,22713,49,57,64,77,91,108,125,136,160 
전국,여성,27~28세,95,12.77,83,125,19497,48,58,65,78,93,110,127,138,163 
전국,여성,29~30세,97,12.77,87,129,15701,48,59,66,79,95,112,130,142,169 
