지역,성별,나이(세),LDL_평균,HDL_평균,LHR_지수
전국,남성,20~24세,93,57,1.631578947368421
전국,남성,25~26세,99,58,1.706896551724138
전국,남성,27~28세,104,57,1.8245614035087718
전국,남성,29~30세,108,56,1.9285714285714286
전국,남성,31~32세,111,54,2.0555555555555554
전국,남성,33~34세,114,53,2.150943396226415
전국,남성,35~36세,115,53,2.169811320754717
전국,남성,37~38세,116,52,2.230769230769231
전국,남성,39~40세,118,52,2.269230769230769
전국,남성,41~42세,118,52,2.269230769230769
전국,남성,43~44세,118,52,2.269230769230769
전국,남성,45~46세,118,53,2.2264150943396226
전국,남성,47~48세,119,53,2.2452830188679247
전국,남성,49~50세,118,53,2.2264150943396226
전국,남성,51~52세,118,53,2.2264150943396226
전국,남성,53~54세,117,53,2.207547169811321
전국,남성,55~56세,117,53,2.207547169811321
전국,남성,57~58세,117,53,2.207547169811321
전국,남성,59~60세,117,53,2.207547169811321
전국,남성,61~62세,117,54,2.1666666666666665
전국,남성,63~64세,116,54,2.1481481481481484
전국,남성,65~66세,116,54,2.1481481481481484
전국,남성,67~68세,114,54,2.111111111111111
전국,남성,69~70세,113,54,2.0925925925925926
전국,남성,71~72세,111,54,2.0555555555555554
전국,남성,73~74세,113,54,2.0925925925925926
전국,남성,75세 이상,110,54,2.037037037037037
전국,여성,20~24세,92,69,1.3333333333333333
전국,여성,25~26세,94,71,1.323943661971831
전국,여성,27~28세,95,70,1.3571428571428572
전국,여성,29~30세,97,70,1.3857142857142857
전국,여성,31~32세,99,68,1.4558823529411764
전국,여성,33~34세,100,67,1.492537313432836
전국,여성,35~36세,101,66,1.5303030303030303
전국,여성,37~38세,102,66,1.5454545454545454
전국,여성,39~40세,105,65,1.6153846153846154
전국,여성,41~42세,106,65,1.6307692307692307
전국,여성,43~44세,108,64,1.6875
전국,여성,45~46세,110,65,1.6923076923076923
전국,여성,47~48세,113,64,1.765625
전국,여성,49~50세,117,64,1.828125
전국,여성,51~52세,121,64,1.890625
전국,여성,53~54세,123,64,1.921875
전국,여성,55~56세,126,63,2.0
전국,여성,57~58세,126,63,2.0
전국,여성,59~60세,126,62,2.032258064516129
전국,여성,61~62세,126,61,2.0655737704918034
전국,여성,63~64세,126,60,2.1
전국,여성,65~66세,125,60,2.0833333333333335
전국,여성,67~68세,123,60,2.05
전국,여성,69~70세,123,59,2.0847457627118646
전국,여성,71~72세,122,59,2.0677966101694913
전국,여성,73~74세,121,57,2.1228070175438596
전국,여성,75세 이상,120,57,2.1052631578947367
