Year,Sport,Best_Rank,Athlete_or_Team,Nation_Cell,Event_Hint,Source_URL
2011,쇼트트랙 세계선수권,1,South Korea,South Korea,table#5,https://en.wikipedia.org/wiki/2011_World_Short_Track_Speed_Skating_Championships
2012,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#5,https://en.wikipedia.org/wiki/2012_World_Short_Track_Speed_Skating_Championships
2013,쇼트트랙 세계선수권,2,South Korea (KOR),South Korea (KOR),table#4,https://en.wikipedia.org/wiki/2013_World_Short_Track_Speed_Skating_Championships
2014,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#3,https://en.wikipedia.org/wiki/2014_World_Short_Track_Speed_Skating_Championships
2015,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#3,https://en.wikipedia.org/wiki/2015_World_Short_Track_Speed_Skating_Championships
2016,쇼트트랙 세계선수권,2,South Korea (KOR)*,South Korea (KOR)*,table#3,https://en.wikipedia.org/wiki/2016_World_Short_Track_Speed_Skating_Championships
2017,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#3,https://en.wikipedia.org/wiki/2017_World_Short_Track_Speed_Skating_Championships
2018,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#3,https://en.wikipedia.org/wiki/2018_World_Short_Track_Speed_Skating_Championships
2019,쇼트트랙 세계선수권,1,South Korea (KOR),South Korea (KOR),table#2,https://en.wikipedia.org/wiki/2019_World_Short_Track_Speed_Skating_Championships
2020,쇼트트랙 세계선수권,1,South Korea,South Korea,table#6,https://en.wikipedia.org/wiki/2020_World_Short_Track_Speed_Skating_Championships
2016,스피드스케이팅(싱글디스턴스) 세계선수권,3,South Korea (KOR),South Korea (KOR),table#3,https://en.wikipedia.org/wiki/2016_World_Single_Distances_Speed_Skating_Championships
2017,스피드스케이팅(싱글디스턴스) 세계선수권,4,South Korea (KOR)*,South Korea (KOR)*,table#3,https://en.wikipedia.org/wiki/2017_World_Single_Distances_Speed_Skating_Championships
2019,스피드스케이팅(싱글디스턴스) 세계선수권,8,South Korea,South Korea,table#3,https://en.wikipedia.org/wiki/2019_World_Single_Distances_Speed_Skating_Championships
2020,스피드스케이팅(싱글디스턴스) 세계선수권,6,South Korea,South Korea,table#3,https://en.wikipedia.org/wiki/2020_World_Single_Distances_Speed_Skating_Championships
2018,컬링 남자 세계선수권,4,South Korea (Kim),South Korea (Kim),table#93,https://en.wikipedia.org/wiki/2018_World_Men%27s_Curling_Championship
2019,컬링 남자 세계선수권,13,South Korea,South Korea,table#97,https://en.wikipedia.org/wiki/2019_World_Men%27s_Curling_Championship
2021,컬링 남자 세계선수권,13,South Korea,South Korea,table#7,https://en.wikipedia.org/wiki/2021_World_Men%27s_Curling_Championship
2012,컬링 여자 세계선수권,4,South Korea (Kim),South Korea (Kim),table#76,https://en.wikipedia.org/wiki/2012_World_Women%27s_Curling_Championship
2014,컬링 여자 세계선수권,3,South Korea (Kim),South Korea (Kim),table#78,https://en.wikipedia.org/wiki/2014_World_Women%27s_Curling_Championship
2016,컬링 여자 세계선수권,64,64,South Korea (Kim/Gim),table#2,https://en.wikipedia.org/wiki/2016_World_Women%27s_Curling_Championship
2017,컬링 여자 세계선수권,25,25,South Korea (Kim),table#2,https://en.wikipedia.org/wiki/2017_World_Women%27s_Curling_Championship
2018,컬링 여자 세계선수권,8,8,South Korea (Kim),table#5,https://en.wikipedia.org/wiki/2018_World_Women%27s_Curling_Championship
2019,컬링 여자 세계선수권,14,14,South Korea (Kim),table#2,https://en.wikipedia.org/wiki/2019_World_Women%27s_Curling_Championship
2020,컬링 여자 세계선수권,17,17,South Korea (Gim),table#4,https://en.wikipedia.org/wiki/2020_World_Women%27s_Curling_Championship
2021,컬링 여자 세계선수권,7,South Korea,South Korea,table#7,https://en.wikipedia.org/wiki/2021_World_Women%27s_Curling_Championship
2011,피겨 세계선수권,2,Kim Yuna,Korea,table#4,https://en.wikipedia.org/wiki/2011_World_Figure_Skating_Championships
2012,피겨 세계선수권,20,Ri Ji-hyang / Thae Won-hyok,North Korea,table#6,https://en.wikipedia.org/wiki/2012_World_Figure_Skating_Championships
2013,피겨 세계선수권,1,Kim Yuna,South Korea,table#5,https://en.wikipedia.org/wiki/2013_World_Figure_Skating_Championships
2014,피겨 세계선수권,9,Park So-youn,South Korea,table#7,https://en.wikipedia.org/wiki/2014_World_Figure_Skating_Championships
2015,피겨 세계선수권,12,Park So-youn,South Korea,table#5,https://en.wikipedia.org/wiki/2015_World_Figure_Skating_Championships
2016,피겨 세계선수권,14,Choi Da-bin,South Korea,table#7,https://en.wikipedia.org/wiki/2016_World_Figure_Skating_Championships
2017,피겨 세계선수권,10,Choi Da-bin,South Korea,table#7,https://en.wikipedia.org/wiki/2017_World_Figure_Skating_Championships
2018,피겨 세계선수권,12,Ryom Tae-ok / Kim Ju-sik,North Korea,table#9,https://en.wikipedia.org/wiki/2018_World_Figure_Skating_Championships
2019,피겨 세계선수권,10,Lim Eun-soo,South Korea,table#7,https://en.wikipedia.org/wiki/2019_World_Figure_Skating_Championships
2021,피겨 세계선수권,10,Cha Jun-hwan,South Korea,table#8,https://en.wikipedia.org/wiki/2021_World_Figure_Skating_Championships
