edition,edition_id,country_noc,sport,event,result_id,athlete,athlete_id,pos,medal,isTeamSport
1992 Winter Olympics,44,KOR,Alpine Skiing,"Downhill, Men",1382,Choi Yong-Hee,84749,39,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Super G, Men",1383,Hur Seung-Wook,87245,54,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Super G, Men",1383,Choi Yong-Hee,84749,63,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Giant Slalom, Men",1384,Choi Yong-Hee,84749,DNF,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Giant Slalom, Men",1384,Hur Seung-Wook,87245,DQ,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Slalom, Men",1387,Choi Yong-Hee,84749,40,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Slalom, Men",1387,Hur Seung-Wook,87245,DNF,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Combined, Men",1390,Choi Yong-Hee,84749,32,,False
1992 Winter Olympics,44,KOR,Alpine Skiing,"Combined, Men",1390,Hur Seung-Wook,87245,DNF,,False
1992 Winter Olympics,44,KOR,Biathlon,"10 kilometres Sprint, Men",1550,Hong Byung-Sik,86759,84,,False
1992 Winter Olympics,44,KOR,Biathlon,"10 kilometres Sprint, Men",1550,Jang Dong-Lin,87462,88,,False
1992 Winter Olympics,44,KOR,Biathlon,"10 kilometres Sprint, Men",1550,Kim Woon-Ki,87955,89,,False
1992 Winter Olympics,44,KOR,Biathlon,"10 kilometres Sprint, Men",1550,Han Myung-Hee,86425,90,,False
1992 Winter Olympics,44,KOR,Biathlon,"20 kilometres, Men",1551,Hong Byung-Sik,86759,87,,False
1992 Winter Olympics,44,KOR,Biathlon,"20 kilometres, Men",1551,Jang Dong-Lin,87462,88,,False
1992 Winter Olympics,44,KOR,Biathlon,"20 kilometres, Men",1551,Han Myung-Hee,86425,89,,False
1992 Winter Olympics,44,KOR,Biathlon,"4 × 7.5 kilometres Relay, Men",1552,Kim Woon-Ki,87955,21,,True
1992 Winter Olympics,44,KOR,Biathlon,"4 × 7.5 kilometres Relay, Men",1552,Hong Byung-Sik,86759,21,,True
1992 Winter Olympics,44,KOR,Biathlon,"4 × 7.5 kilometres Relay, Men",1552,Jang Dong-Lin,87462,21,,True
1992 Winter Olympics,44,KOR,Biathlon,"4 × 7.5 kilometres Relay, Men",1552,Han Myung-Hee,86425,21,,True
1992 Winter Olympics,44,KOR,Cross Country Skiing,"10 kilometres, Men",2026,Park Byung-Chul,96209,40,,False
1992 Winter Olympics,44,KOR,Cross Country Skiing,"10 kilometres, Men",2026,Ahn Jin-Soo,83584,77,,False
1992 Winter Olympics,44,KOR,Cross Country Skiing,"10 kilometres, Men",2026,Kim Kwang-Rae,87952,85,,False
1992 Winter Olympics,44,KOR,Cross Country Skiing,"10 kilometres, Men",2026,Wi Jae-Wook,98927,95,,False
1992 Winter Olympics,44,KOR,Cross Country Skiing,"30 kilometres, Men",2030,Park Byung-Chul,96209,55,,False
1992 Winter Olympics,44,KOR,Cross Country Skiing,"30 kilometres, Men",2030,Ahn Jin-Soo,83584,70,,False
